permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,status_code
/organization/airpatrol-corporation,AirPatrol Corporation,http://www.airpatrolcorp.com,|Wireless|Mobile Security|Location Based Services|Mobility|Mobile|,Wireless,3675000.0,acquired,USA,MD,Baltimore,Columbia,1.0,2006-01-01,2006-01,2006-Q1,2006.0,2011-04-20,2011-04-20,0.0,0.0,0.0,0.0,0.0,3675000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
/organization/volumental,Volumental,http://www.volumental.com,|E-Commerce|Mass Customization|,Mass Customization,3000000.0,operating,SWE,,Stockholm,Stockholm,1.0,2012-08-01,2012-08,2012-Q3,2012.0,2014-09-11,2014-09-11,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/global-roaming,Global Roaming,http://www.globalroaming.us,|Telecommunications|Mobile|,Mobile,30500000.0,closed,USA,FL,Miami,Miami,2.0,2006-08-01,2006-08,2006-Q3,2006.0,2007-02-01,2008-02-01,0.0,30500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
/organization/next-tier-education,Next Tier Education,https://www.nexttiereducation.com/,|Education|,Education,1200000.0,operating,USA,IL,Chicago,Chicago,1.0,2014-01-01,2014-01,2014-Q1,2014.0,2014-10-21,2014-10-21,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/sms-assist,SMS Assist,http://www.sms-assist.com,|Enterprise Software|,Enterprise Software,60000000.0,operating,USA,IL,Chicago,Chicago,2.0,1995-01-01,1995-01,1995-Q1,1995.0,2011-06-22,2013-10-22,0.0,60000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/youjia,Youjia,http://itunes.apple.com/cn/app/you-jia/id451928846,|Social Media|,Social Media,1000000.0,operating,CHN,,CHN - Other,,1.0,,,,,2013-11-01,2013-11-01,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/piku-media-k-k,Piku Media K.K.,http://www.piku.jp,|Curated Web|,Curated Web,7350000.0,operating,JPN,,Tokyo,Tokyo,1.0,2004-01-01,2004-01,2004-Q1,2004.0,2010-07-09,2010-07-09,0.0,7350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/electrojet,ElectroJet,http://www.electrojet.org,,,788585.0,operating,USA,MI,Detroit,Brighton,2.0,2003-01-01,2003-01,2003-Q1,2003.0,2009-07-06,2010-08-24,0.0,788585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/aidin,Aidin,http://www.myaidin.com,|Health Care|Software|,Software,600000.0,operating,USA,NY,New York City,New York,2.0,,,,,2012-03-29,2012-06-16,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/invisiblecrm,InvisibleCRM,http://www.invisiblecrm.com,|Enterprise Software|,Enterprise Software,1500000.0,operating,USA,CA,SF Bay Area,Mountain View,1.0,2006-07-01,2006-07,2006-Q3,2006.0,2006-07-19,2006-07-19,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/tu-nr,tu.nr,http://tu.nr,|Software|,Software,14000.0,closed,,,,,1.0,,,,,2010-06-01,2010-06-01,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
/organization/3d-data,3D Data,http://3ddataltd.com,,,250000.0,operating,USA,MA,Boston,Quincy,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2014-06-02,2014-06-02,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/exactearth-ltd,exactEarth Ltd,http://www.exactearth.com,|Enterprise Software|,Enterprise Software,5000.0,operating,CAN,ON,Toronto,Cambridge,1.0,,,,,2014-03-17,2014-03-17,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/chromatin,Chromatin,http://www.chromatininc.com,|Biotechnology|,Biotechnology,60100000.0,operating,USA,IL,Chicago,Chicago,4.0,,,,,2006-04-01,2014-07-09,0.0,47600000.0,0.0,0.0,0.0,12500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,36000000.0,0.0,0.0,0.0,1
/organization/flashnotes,Flashnotes,http://flashnotes.com,|Education|,Education,11400000.0,operating,USA,MA,Boston,Boston,4.0,2009-01-01,2009-01,2009-Q1,2009.0,2012-10-25,2014-09-10,3300000.0,8100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/jobyourlife,Jobyourlife,http://www.jobyourlife.com,|Curated Web|,Curated Web,643300.0,operating,ITA,,Milan,Milan,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-01-12,2014-01-12,0.0,0.0,0.0,0.0,0.0,0.0,643300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/messageme,MessageMe,http://www.messageme.com,|Chat|Mobile|Messaging|,Chat,13375000.0,acquired,USA,CA,SF Bay Area,San Francisco,3.0,2012-01-01,2012-01,2012-Q1,2012.0,2012-07-01,2013-05-16,3375000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
/organization/vitaflavor,VitaFlavor,,|Hospitality|,Hospitality,40000.0,operating,USA,MA,Boston,Belmont,1.0,,,,,2011-08-23,2011-08-23,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
