funding_total_usd,funding_rounds,seed,venture,angel,grant,private_equity,debt_financing,equity_crowdfunding,convertible_note,undisclosed,product_crowdfunding,post_ipo_equity,post_ipo_debt,secondary_market,round_A,round_B,round_C,founded_year,founded_month,founded_quarter,geo_cluster,log_funding_total_usd,log_seed,log_venture,log_angel,log_grant,log_private_equity,log_debt_financing,log_equity_crowdfunding,log_convertible_note,log_undisclosed,log_product_crowdfunding,log_post_ipo_equity,log_post_ipo_debt,log_secondary_market,has_round_A,has_round_B,has_round_C,round_D_plus,days_to_first_funding,market_enc_acquired,market_enc_closed,country_code_enc_acquired,country_code_enc_closed,status_code
3766.0,2.0,3766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,8.0,3.0,ROM,8.23403420769204,8.23403420769204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,193.0,0.0625,0.0625,0.0,0.058823529411764705,1
165000000.0,3.0,0.0,0.0,0.0,0.0,165000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,1.0,USA-Other,18.92145603792546,0.0,0.0,0.0,0.0,18.92145603792546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,2290.0,0.02527075812274368,0.021660649819494584,0.10379324718632764,0.05210504376823676,1
265000.0,1.0,265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,9.0,3.0,FRA,12.487488878546145,12.487488878546145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,41.0,0.05595854922279793,0.061139896373056994,0.05172413793103448,0.04597701149425287,1
47000.0,2.0,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,1.0,1.0,USA-Seattle,10.757924157061597,10.757924157061597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,28.0,0.0,0.0,0.10379324718632764,0.05210504376823676,1
80953.0,3.0,80953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,6.0,2.0,GBR,11.301636371103024,11.301636371103024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,884.0,0.25,0.25,0.05456852791878172,0.061548223350253804,1
5000000.0,1.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,2013.0,1.0,1.0,USA-SiliconValley,15.424948670398354,0.0,15.424948670398354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,245.0,0.07152875175315568,0.04908835904628331,0.10379324718632764,0.05210504376823676,1
1200000.0,2.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,5.0,2.0,USA-Boston,13.997832948091215,13.997832948091215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,61.0,0.10641891891891891,0.06925675675675676,0.10379324718632764,0.05210504376823676,1
30000.0,1.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,5.0,2.0,USA-NY,10.308985993422082,10.308985993422082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,304.0,0.05595854922279793,0.061139896373056994,0.10379324718632764,0.05210504376823676,1
7294000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.0,1.0,1.0,USA-Other,15.80256278744974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.80256278744974,0.0,0.0,0.0,0.0,0,0,0,0.0,9327.0,0.04878048780487805,0.12195121951219512,0.10379324718632764,0.05210504376823676,1
40000.0,1.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,1.0,1.0,Unknown,10.596659732783579,10.596659732783579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,323.0,0.025957170668397145,0.024010382868267358,0.042270058708414875,0.07632093933463796,1
