funding_total_usd,funding_rounds,seed,venture,angel,grant,private_equity,debt_financing,equity_crowdfunding,convertible_note,undisclosed,product_crowdfunding,post_ipo_equity,post_ipo_debt,secondary_market,round_A,round_B,round_C,founded_year,founded_month,founded_quarter,log_funding_total_usd,log_seed,log_venture,log_angel,log_grant,log_private_equity,log_debt_financing,log_equity_crowdfunding,log_convertible_note,log_undisclosed,log_product_crowdfunding,log_post_ipo_equity,log_post_ipo_debt,log_secondary_market,log_round_A,log_round_B,log_round_C,has_round_A,has_round_B,has_round_C,round_D_plus,log_round_D_plus,had_angel,never_funded,days_to_first_funding,market_enc_acquired,market_enc_closed,country_code_enc_acquired,country_code_enc_closed,status_code
4700000.0,1.0,0.0,4700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,1.0,15.363073279446224,0.0,15.363073279446224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,1849.0,0.0994623655913978,0.021505376344086,0.0545685279187817,0.0615482233502538,0
3766.0,2.0,3766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,8.0,3.0,8.23403420769204,8.23403420769204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,193.0,0.0625,0.0625,0.0,0.0588235294117647,0
165000000.0,3.0,0.0,0.0,0.0,0.0,165000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,1.0,18.92145603792546,0.0,0.0,0.0,0.0,18.92145603792546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,2290.0,0.0252707581227436,0.0216606498194945,0.1037932471863276,0.0521050437682367,0
265000.0,1.0,265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,9.0,3.0,12.487488878546143,12.487488878546143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,41.0,0.0559585492227979,0.0611398963730569,0.0517241379310344,0.0459770114942528,0
47000.0,2.0,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,1.0,1.0,10.757924157061597,10.757924157061597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,28.0,0.0,0.0,0.1037932471863276,0.0521050437682367,0
80953.0,3.0,80953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,6.0,2.0,11.301636371103024,11.301636371103024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,884.0,0.25,0.25,0.0545685279187817,0.0615482233502538,0
5000000.0,1.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,2013.0,1.0,1.0,15.424948670398354,0.0,15.424948670398354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.424948670398354,0.0,0.0,1,0,0,0.0,0.0,0,0,245.0,0.0715287517531556,0.0490883590462833,0.1037932471863276,0.0521050437682367,0
1200000.0,2.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,5.0,2.0,13.997832948091215,13.997832948091215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,61.0,0.1064189189189189,0.0692567567567567,0.1037932471863276,0.0521050437682367,0
30000.0,1.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,5.0,2.0,10.308985993422082,10.308985993422082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,304.0,0.0559585492227979,0.0611398963730569,0.1037932471863276,0.0521050437682367,0
7294000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.0,1.0,1.0,15.80256278744974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.80256278744974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,9327.0,0.048780487804878,0.1219512195121951,0.1037932471863276,0.0521050437682367,0
